system:index,tx,ty,zoom,.geo
23,6481,3828,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.80865135076868,11.651336519497999],[104.85443459272305,11.651336519497999],[104.85443459272305,11.696173457976858],[104.80865135076868,11.696173457976858],[104.80865135076868,11.651336519497999]]]}"
97,6482,3828,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.85259666326915,11.651336519497999],[104.89837990522352,11.651336519497999],[104.89837990522352,11.696173457976856],[104.85259666326915,11.696173457976856],[104.85259666326915,11.651336519497999]]]}"
98,6482,3829,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.85259680587393,11.608293523321406],[104.89837976261873,11.608293523321406],[104.89837976261873,11.653137126157207],[104.85259680587393,11.653137126157207],[104.85259680587393,11.608293523321406]]]}"
172,6483,3829,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.89654211837438,11.608293523321404],[104.94232507511921,11.608293523321404],[104.94232507511921,11.653137126157203],[104.89654211837438,11.653137126157203],[104.89654211837438,11.608293523321404]]]}"
173,6483,3830,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.89654226043865,11.565243883145136],[104.94232493305495,11.565243883145136],[104.94232493305495,11.6100941270728],[104.89654226043865,11.6100941270728],[104.89654226043865,11.565243883145136]]]}"
174,6483,3831,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.89654240196249,11.522187622250623],[104.94232479153112,11.522187622250623],[104.94232479153112,11.567044483986397],[104.89654240196249,11.567044483986397],[104.89654240196249,11.522187622250623]]]}"
244,6484,3827,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.9404871451247,11.694372848412174],[104.98627067336984,11.694372848412174],[104.98627067336984,11.739203099287613],[104.9404871451247,11.739203099287613],[104.9404871451247,11.694372848412174]]]}"
245,6484,3828,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.94048728827008,11.651336519497999],[104.98627053022444,11.651336519497999],[104.98627053022444,11.696173457976855],[104.94048728827008,11.696173457976855],[104.94048728827008,11.651336519497999]]]}"
246,6484,3829,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.94048743087487,11.608293523321406],[104.98627038761967,11.608293523321406],[104.98627038761967,11.653137126157205],[104.94048743087487,11.653137126157205],[104.94048743087487,11.608293523321406]]]}"
247,6484,3830,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.94048757293912,11.565243883145136],[104.98627024555542,11.565243883145136],[104.98627024555542,11.6100941270728],[104.94048757293912,11.6100941270728],[104.94048757293912,11.565243883145136]]]}"
248,6484,3831,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.94048771446293,11.522187622250623],[104.9862701040316,11.522187622250623],[104.9862701040316,11.567044483986393],[104.94048771446293,11.567044483986393],[104.94048771446293,11.522187622250623]]]}"
315,6485,3824,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.98443202494454,11.823441599232323],[105.0302164185509,11.823441599232323],[105.0302164185509,11.868251648005897],[104.98443202494454,11.868251648005897],[104.98443202494454,11.823441599232323]]]}"
316,6485,3825,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.98443216971225,11.780425411495393],[105.0302162737832,11.780425411495393],[105.0302162737832,11.825242217499389],[104.98443216971225,11.825242217499389],[104.98443216971225,11.780425411495393]]]}"
317,6485,3826,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.9844323139391,11.737402486819784],[105.03021612955635,11.737402486819784],[105.03021612955635,11.782226026864015],[104.9844323139391,11.782226026864015],[104.9844323139391,11.737402486819784]]]}"
318,6485,3827,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.98443245762518,11.694372848412174],[105.03021598587029,11.694372848412174],[105.03021598587029,11.739203099287613],[104.98443245762518,11.739203099287613],[104.98443245762518,11.694372848412174]]]}"
322,6485,3831,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[104.98443302696342,11.522187622250623],[105.03021541653203,11.522187622250623],[105.03021541653203,11.567044483986397],[104.98443302696342,11.567044483986397],[104.98443302696342,11.522187622250623]]]}"
389,6486,3824,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.02837733744501,11.823441599232323],[105.07416173105133,11.823441599232323],[105.07416173105133,11.868251648005895],[105.02837733744501,11.868251648005895],[105.02837733744501,11.823441599232323]]]}"
396,6486,3831,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.02837833946386,11.522187622250623],[105.0741607290325,11.522187622250623],[105.0741607290325,11.567044483986397],[105.02837833946386,11.567044483986397],[105.02837833946386,11.522187622250623]]]}"
463,6487,3824,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.07232264994545,11.823441599232323],[105.11810704355183,11.823441599232323],[105.11810704355183,11.868251648005895],[105.07232264994545,11.868251648005895],[105.07232264994545,11.823441599232323]]]}"
470,6487,3831,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.07232365196431,11.522187622250623],[105.11810604153298,11.522187622250623],[105.11810604153298,11.567044483986397],[105.07232365196431,11.567044483986397],[105.07232365196431,11.522187622250623]]]}"
471,6487,3832,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.07232379294778,11.47912476393775],[105.11810590054951,11.47912476393775],[105.11810590054951,11.523988220179431],[105.07232379294778,11.523988220179431],[105.07232379294778,11.47912476393775]]]}"
486,6487,3847,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.07232584291319,10.832406099021727],[105.1181038505841,10.832406099021727],[105.1181038505841,10.877365664164726],[105.07232584291319,10.877365664164726],[105.07232584291319,10.832406099021727]]]}"
487,6487,3848,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.07232597526207,10.789240865700776],[105.11810371823522,10.789240865700776],[105.11810371823522,10.834206650042207],[105.07232597526207,10.834206650042207],[105.07232597526207,10.789240865700776]]]}"
488,6487,3849,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.07232610707197,10.746069433838885],[105.11810358642529,10.746069433838885],[105.11810358642529,10.791041413770541],[105.07232610707197,10.791041413770541],[105.07232610707197,10.746069433838885]]]}"
489,6487,3850,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.07232623834298,10.702891827059423],[105.11810345515431,10.702891827059423],[105.11810345515431,10.747869978955757],[105.07232623834298,10.747869978955757],[105.07232623834298,10.702891827059423]]]}"
535,6488,3822,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.11626767128763,11.909453671157685],[105.1620526472106,11.909453671157685],[105.1620526472106,11.954250135975355],[105.11626767128763,11.954250135975355],[105.11626767128763,11.909453671157685]]]}"
536,6488,3823,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.1162678171373,11.866451026842755],[105.16205250136092,11.866451026842755],[105.16205250136092,11.911254295214537],[105.1162678171373,11.911254295214537],[105.1162678171373,11.866451026842755]]]}"
537,6488,3824,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.11626796244593,11.823441599232323],[105.16205235605227,11.823441599232323],[105.16205235605227,11.868251648005897],[105.11626796244593,11.868251648005897],[105.11626796244593,11.823441599232323]]]}"
545,6488,3832,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.11626910544827,11.479124763937751],[105.16205121304995,11.479124763937751],[105.16205121304995,11.523988220179431],[105.11626910544827,11.523988220179431],[105.11626910544827,11.479124763937751]]]}"
546,6488,3833,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.11626924589147,11.436055331524942],[105.16205107260674,11.436055331524942],[105.16205107260674,11.480925358951799],[105.11626924589147,11.480925358951799],[105.11626924589147,11.436055331524942]]]}"
561,6488,3848,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.11627128776257,10.789240865700775],[105.16204903073567,10.789240865700775],[105.16204903073567,10.834206650042205],[105.11627128776257,10.834206650042205],[105.11627128776257,10.789240865700775]]]}"
562,6488,3849,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.11627141957247,10.746069433838885],[105.16204889892576,10.746069433838885],[105.16204889892576,10.791041413770545],[105.11627141957247,10.791041413770545],[105.11627141957247,10.746069433838885]]]}"
563,6488,3850,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.11627155084348,10.702891827059423],[105.16204876765475,10.702891827059423],[105.16204876765475,10.747869978955759],[105.11627155084348,10.747869978955759],[105.11627155084348,10.702891827059423]]]}"
564,6488,3851,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.11627168157563,10.65970806900325],[105.16204863692258,10.65970806900325],[105.16204863692258,10.704692369221224],[105.11627168157563,10.704692369221224],[105.11627168157563,10.65970806900325]]]}"
609,6489,3822,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.16021298378807,11.909453671157683],[105.20599795971108,11.909453671157683],[105.20599795971108,11.954250135975355],[105.16021298378807,11.954250135975355],[105.16021298378807,11.909453671157683]]]}"
620,6489,3833,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.16021455839191,11.436055331524942],[105.20599638510724,11.436055331524942],[105.20599638510724,11.480925358951799],[105.16021455839191,11.480925358951799],[105.16021455839191,11.436055331524942]]]}"
630,6489,3843,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.16021593312713,11.005004575039461],[105.20599501037204,11.005004575039461],[105.20599501037204,11.04993902765831],[105.16021593312713,11.04993902765831],[105.16021593312713,11.005004575039461]]]}"
631,6489,3844,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.16021606763275,10.961864371766623],[105.20599487586641,10.961864371766623],[105.20599487586641,11.006805137840797],[105.16021606763275,11.006805137840797],[105.16021606763275,10.961864371766623]]]}"
632,6489,3845,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.16021620159907,10.918717875634314],[105.2059947419001,10.918717875634314],[105.2059947419001,10.96366493162606],[105.16021620159907,10.96366493162606],[105.16021620159907,10.918717875634314]]]}"
633,6489,3846,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.16021633502616,10.875565110195728],[105.205994608473,10.875565110195728],[105.205994608473,10.920518432549637],[105.16021633502616,10.920518432549637],[105.16021633502616,10.875565110195728]]]}"
634,6489,3847,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.16021646791413,10.832406099021728],[105.20599447558504,10.832406099021728],[105.20599447558504,10.877365664164723],[105.16021646791413,10.877365664164723],[105.16021646791413,10.832406099021728]]]}"
638,6489,3851,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.16021699407608,10.65970806900325],[105.20599394942307,10.65970806900325],[105.20599394942307,10.704692369221227],[105.16021699407608,10.704692369221227],[105.16021699407608,10.65970806900325]]]}"
683,6490,3822,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20415829628857,11.909453671157685],[105.24994327221154,11.909453671157685],[105.24994327221154,11.954250135975355],[105.20415829628857,11.954250135975355],[105.20415829628857,11.909453671157685]]]}"
694,6490,3833,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.2041598708924,11.436055331524946],[105.24994169760768,11.436055331524946],[105.24994169760768,11.480925358951797],[105.2041598708924,11.480925358951797],[105.2041598708924,11.436055331524946]]]}"
695,6490,3834,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416001079542,11.392979348349003],[105.24994155770467,11.392979348349003],[105.24994155770467,11.437855923621926],[105.20416001079542,11.437855923621926],[105.20416001079542,11.392979348349003]]]}"
696,6490,3835,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416015015833,11.349896837765078],[105.24994141834176,11.349896837765078],[105.24994141834176,11.394779937526629],[105.20416015015833,11.394779937526629],[105.20416015015833,11.349896837765078]]]}"
697,6490,3836,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416028898123,11.3068078231467],[105.24994127951888,11.3068078231467],[105.24994127951888,11.351697424021058],[105.20416028898123,11.351697424021058],[105.20416028898123,11.3068078231467]]]}"
701,6490,3840,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416083887417,11.134387192434774],[105.24994072962593,11.134387192434774],[105.24994072962593,11.17930256363916],[105.20416083887417,11.17930256363916],[105.20416083887417,11.134387192434774]]]}"
702,6490,3841,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416097499816,11.091266008882354],[105.24994059350193,11.091266008882354],[105.24994059350193,11.136187764048467],[105.20416097499816,11.136187764048467],[105.20416097499816,11.091266008882354]]]}"
703,6490,3842,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416111058262,11.048138461917288],[105.24994045791748,11.048138461917288],[105.24994045791748,11.09306657756083],[105.20416111058262,11.09306657756083],[105.20416111058262,11.048138461917288]]]}"
704,6490,3843,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416124562762,11.005004575039463],[105.24994032287249,11.005004575039463],[105.24994032287249,11.04993902765831],[105.20416124562762,11.04993902765831],[105.20416124562762,11.005004575039463]]]}"
708,6490,3847,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416178041461,10.832406099021727],[105.24993978808548,10.832406099021727],[105.24993978808548,10.877365664164724],[105.20416178041461,10.877365664164724],[105.20416178041461,10.832406099021727]]]}"
709,6490,3848,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.2041619127635,10.789240865700776],[105.24993965573661,10.789240865700776],[105.24993965573661,10.834206650042207],[105.2041619127635,10.834206650042207],[105.2041619127635,10.789240865700776]]]}"
712,6490,3851,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416230657656,10.659708069003251],[105.24993926192353,10.659708069003251],[105.24993926192353,10.704692369221224],[105.20416230657656,10.704692369221224],[105.20416230657656,10.659708069003251]]]}"
713,6490,3852,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416243676999,10.616518183328584],[105.2499391317301,10.616518183328584],[105.2499391317301,10.661508608207816],[105.20416243676999,10.661508608207816],[105.20416243676999,10.616518183328584]]]}"
714,6490,3853,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.20416256642473,10.5733221937109],[105.24993900207537,10.5733221937109],[105.24993900207537,10.618318719573752],[105.20416256642473,10.618318719573752],[105.20416256642473,10.5733221937109]]]}"
757,6491,3822,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810360878901,11.909453671157685],[105.29388858471201,11.909453671157685],[105.29388858471201,11.954250135975352],[105.24810360878901,11.954250135975352],[105.24810360878901,11.909453671157685]]]}"
770,6491,3835,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810546265878,11.34989683776508],[105.29388673084225,11.34989683776508],[105.29388673084225,11.39477993752663],[105.24810546265878,11.39477993752663],[105.24810546265878,11.34989683776508]]]}"
771,6491,3836,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810560148167,11.3068078231467],[105.29388659201936,11.3068078231467],[105.29388659201936,11.35169742402106],[105.24810560148167,11.35169742402106],[105.24810560148167,11.3068078231467]]]}"
772,6491,3837,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810573976461,11.263712327885516],[105.2938864537364,11.263712327885516],[105.2938864537364,11.308608406478752],[105.24810573976461,11.308608406478752],[105.24810573976461,11.263712327885516]]]}"
773,6491,3838,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.2481058775077,11.220610375391432],[105.29388631599332,11.220610375391432],[105.29388631599332,11.26551290829137],[105.2481058775077,11.26551290829137],[105.2481058775077,11.220610375391432]]]}"
774,6491,3839,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.248106014711,11.177501989092493],[105.29388617879,11.177501989092493],[105.29388617879,11.222410952868822],[105.248106014711,11.222410952868822],[105.248106014711,11.177501989092493]]]}"
775,6491,3840,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810615137461,11.134387192434774],[105.2938860421264,11.134387192434774],[105.2938860421264,11.179302563639157],[105.24810615137461,11.179302563639157],[105.24810615137461,11.134387192434774]]]}"
783,6491,3848,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810722526395,10.789240865700776],[105.29388496823707,10.789240865700776],[105.29388496823707,10.834206650042205],[105.24810722526395,10.834206650042205],[105.24810722526395,10.789240865700776]]]}"
784,6491,3849,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810735707385,10.746069433838885],[105.29388483642717,10.746069433838885],[105.29388483642717,10.791041413770545],[105.24810735707385,10.791041413770545],[105.24810735707385,10.746069433838885]]]}"
788,6491,3853,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.24810787892517,10.5733221937109],[105.29388431457586,10.5733221937109],[105.29388431457586,10.618318719573752],[105.24810787892517,10.618318719573752],[105.24810787892517,10.5733221937109]]]}"
789,6491,3854,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.2481080080413,10.530120123842874],[105.29388418545972,10.530120123842874],[105.29388418545972,10.57512272699452],[105.2481080080413,10.57512272699452],[105.2481080080413,10.530120123842874]]]}"
831,6492,3822,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.29204892128949,11.909453671157685],[105.33783389721242,11.909453671157685],[105.33783389721242,11.954250135975354],[105.29204892128949,11.954250135975354],[105.29204892128949,11.909453671157685]]]}"
857,6492,3848,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.29205253776442,10.789240865700776],[105.3378302807375,10.789240865700776],[105.3378302807375,10.834206650042207],[105.29205253776442,10.834206650042207],[105.29205253776442,10.789240865700776]]]}"
858,6492,3849,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.29205266957435,10.746069433838885],[105.33783014892758,10.746069433838885],[105.33783014892758,10.791041413770543],[105.29205266957435,10.791041413770543],[105.29205266957435,10.746069433838885]]]}"
863,6492,3854,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.29205332054178,10.530120123842876],[105.33782949796014,10.530120123842876],[105.33782949796014,10.575122726994516],[105.29205332054178,10.575122726994516],[105.29205332054178,10.530120123842876]]]}"
864,6492,3855,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.2920534491194,10.486911997434385],[105.33782936938252,10.486911997434385],[105.33782936938252,10.531920654162791],[105.2920534491194,10.531920654162791],[105.2920534491194,10.486911997434385]]]}"
905,6493,3822,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599423378992,11.909453671157685],[105.3817792097129,11.909453671157685],[105.3817792097129,11.954250135975354],[105.33599423378992,11.954250135975354],[105.33599423378992,11.909453671157685]]]}"
906,6493,3823,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599437963959,11.866451026842759],[105.38177906386323,11.866451026842759],[105.38177906386323,11.911254295214535],[105.33599437963959,11.911254295214535],[105.33599437963959,11.866451026842759]]]}"
931,6493,3848,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599785026486,10.789240865700776],[105.38177559323796,10.789240865700776],[105.38177559323796,10.834206650042207],[105.33599785026486,10.834206650042207],[105.33599785026486,10.789240865700776]]]}"
932,6493,3849,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599798207476,10.746069433838885],[105.38177546142806,10.746069433838885],[105.38177546142806,10.791041413770547],[105.33599798207476,10.791041413770547],[105.33599798207476,10.746069433838885]]]}"
933,6493,3850,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599811334577,10.702891827059423],[105.38177533015707,10.702891827059423],[105.38177533015707,10.747869978955759],[105.33599811334577,10.747869978955759],[105.33599811334577,10.702891827059423]]]}"
934,6493,3851,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599824407793,10.659708069003251],[105.3817751994249,10.659708069003251],[105.3817751994249,10.704692369221224],[105.33599824407793,10.704692369221224],[105.33599824407793,10.659708069003251]]]}"
935,6493,3852,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599837427134,10.616518183328584],[105.38177506923148,10.616518183328584],[105.38177506923148,10.661508608207816],[105.33599837427134,10.661508608207816],[105.33599837427134,10.616518183328584]]]}"
936,6493,3853,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599850392608,10.5733221937109],[105.38177493957674,10.5733221937109],[105.38177493957674,10.61831871957375],[105.33599850392608,10.61831871957375],[105.33599850392608,10.5733221937109]]]}"
937,6493,3854,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599863304221,10.530120123842874],[105.3817748104606,10.530120123842874],[105.3817748104606,10.57512272699452],[105.33599863304221,10.57512272699452],[105.33599863304221,10.530120123842874]]]}"
938,6493,3855,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.3359987616198,10.486911997434385],[105.381774681883,10.486911997434385],[105.381774681883,10.531920654162791],[105.3359987616198,10.531920654162791],[105.3359987616198,10.486911997434385]]]}"
939,6493,3856,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.33599888965898,10.443697838212397],[105.38177455384384,10.443697838212397],[105.38177455384384,10.48871252478847],[105.33599888965898,10.48871252478847],[105.33599888965898,10.443697838212397]]]}"
980,6494,3823,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.37993969214004,11.866451026842759],[105.42572437636369,11.866451026842759],[105.42572437636369,11.911254295214539],[105.37993969214004,11.911254295214539],[105.37993969214004,11.866451026842759]]]}"
1008,6494,3851,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.37994355657838,10.65970806900325],[105.42572051192536,10.65970806900325],[105.42572051192536,10.704692369221226],[105.37994355657838,10.704692369221226],[105.37994355657838,10.65970806900325]]]}"
1009,6494,3852,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.37994368677181,10.616518183328584],[105.42572038173195,10.616518183328584],[105.42572038173195,10.661508608207814],[105.37994368677181,10.661508608207814],[105.37994368677181,10.616518183328584]]]}"
1010,6494,3853,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.37994381642653,10.5733221937109],[105.42572025207721,10.5733221937109],[105.42572025207721,10.61831871957375],[105.37994381642653,10.61831871957375],[105.37994381642653,10.5733221937109]]]}"
1013,6494,3856,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.37994420215945,10.443697838212397],[105.42571986634431,10.443697838212397],[105.42571986634431,10.488712524788466],[105.37994420215945,10.488712524788466],[105.37994420215945,10.443697838212397]]]}"
1014,6494,3857,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.37994432966022,10.400477669920864],[105.42571973884353,10.400477669920864],[105.42571973884353,10.445498362598512],[105.37994432966022,10.445498362598512],[105.37994432966022,10.400477669920864]]]}"
1053,6495,3822,13,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[105.42388485879086,11.909453671157683],[105.46966983471384,11.909453671157683],[105.46966983471384,11.954250135975355],[105.42388485879086,11.954250135975355],[105.42388485879086,11.909453671157683]]]}"
